replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
1,170,1930,117.6,123.6,#NOM?,0.01671,0.9515,1352,84.62,84.38,#NOM?,0.009319,1.003,0.1111,138,80,111,69,162,0,137,164,80,153,73,129,66,163,0,159,174,72,111,46,85,55,111,0,111,111,47,111,42,93,55,111,0,111,111,41,169,169,169,169,169,0,169,169,169,150,0.1111,0.5109,0.5002,0.521,0.5034,0.4782,0.5288
1,175,1864,118.5,114.5,#NOM?,0.04114,1.035,1352,84.75,84.25,#NOM?,0.009319,1.006,0.1111,139,69,129,95,160,0,150,147,59,154,45,109,90,159,0,151,146,62,111,43,90,55,111,0,111,111,46,111,45,88,55,111,0,111,111,42,174,174,174,174,174,0,174,174,174,154,0.1111,0.4886,0.4623,0.5159,0.5006,0.4733,0.5281
1,180,1882,118.8,116.5,#NOM?,0.01145,1.019,1351,84.75,84.12,#NOM?,0.009237,1.007,0.1111,154,68,159,74,137,0,144,161,53,157,63,141,73,128,0,143,158,69,111,46,110,55,91,0,111,111,43,111,42,111,55,87,0,111,111,45,179,179,179,179,179,0,179,179,179,159,0.1111,0.4958,0.4581,0.5342,0.4989,0.4585,0.5396
1,185,1733,108.1,108.5,#NOM?,0.01906,0.9965,1328,82.5,83.5,#NOM?,0.00896,0.988,0.1111,172,63,106,72,99,0,135,145,73,142,71,122,62,115,0,147,149,60,111,47,86,55,86,0,111,111,53,111,41,92,55,92,0,111,111,55,184,184,184,184,184,0,184,184,184,163,0.1111,0.5122,0.4846,0.5397,0.5008,0.4737,0.5276
1,190,1841,116,114.1,#NOM?,0.02289,1.016,1284,80.75,79.75,#NOM?,0.01558,1.013,0.1111,151,62,133,75,150,0,150,144,63,169,59,126,90,114,0,165,133,57,111,44,86,55,87,0,111,111,41,111,44,92,55,91,0,111,104,30,189,189,189,189,189,0,189,189,189,168,0.1111,0.5046,0.4592,0.5508,0.504,0.4605,0.548
1,195,1825,118,110.1,#NOM?,0.03875,1.072,1308,82.88,80.62,#NOM?,0.009911,1.028,0.1111,190,77,109,87,143,0,156,120,62,144,81,117,79,144,0,150,111,55,111,45,87,55,111,0,111,97,46,111,43,91,55,111,0,111,81,42,194,194,194,194,194,0,194,194,194,172,0.1111,0.5013,0.4641,0.5412,0.4993,0.4612,0.5385
1,200,1823,116.5,111.4,#NOM?,0.02067,1.046,1352,84.5,84.5,#NOM?,0.009319,1,0.1111,160,67,139,88,106,0,149,148,75,131,74,132,82,114,0,136,149,73,111,47,111,55,85,0,111,111,45,111,41,111,55,93,0,111,111,43,199,199,199,199,199,0,199,199,199,176,0.1111,0.4891,0.4556,0.5242,0.4937,0.4491,0.5384
1,205,1774,114.9,106.9,#NOM?,0.0215,1.075,1308,83,80.5,#NOM?,0.009207,1.031,0.1111,166,81,124,66,120,0,153,122,87,170,61,112,67,106,0,142,142,55,111,55,95,55,93,0,111,89,55,111,55,83,55,85,0,111,89,55,204,204,204,204,204,0,204,204,204,181,0.1111,0.5137,0.4751,0.5551,0.5007,0.4611,0.5416
1,210,1668,105.9,102.6,#NOM?,0.06201,1.032,1252,76.38,80.12,#NOM?,0.021,0.9532,0.1111,153,68,88,84,111,0,154,126,63,176,72,72,70,94,0,160,108,69,111,55,58,55,74,0,111,92,55,111,55,78,55,90,0,111,86,55,209,209,209,209,209,0,209,209,209,185,0.1111,0.5147,0.4672,0.5637,0.5116,0.4829,0.5389
1,215,1687,105.1,105.8,#NOM?,0.04437,0.9941,1233,78.88,75.25,#NOM?,0.01802,1.048,0.1111,145,64,87,80,125,0,156,113,71,146,71,83,71,126,0,175,112,62,111,50,74,55,93,0,111,89,48,111,55,61,55,85,0,111,84,40,214,214,214,214,214,0,214,214,214,190,0.1111,0.5052,0.4678,0.5425,0.5071,0.467,0.5491
