replicate generation off.nbr off.nbfem off.nbmal off.density off.dvar off.sexratio adlt.nbr adlt.nbfem adlt.nbmal adlt.density adlt.dvar adlt.sexratio extrate off.disp off.fdisp off.mdisp adlt.disp adlt.fdisp adlt.mdisp off.allnbp off.allnb off.fixlocp off.fixloc off.ho off.hsnei off.htnei off.fis off.fst off.fit adlt.allnbp adlt.allnb adlt.fixlocp adlt.fixloc adlt.ho adlt.hsnei adlt.htnei adlt.fis adlt.fst adlt.fit
2 55 2616 1339 1277 1.308 0 1.049 2000 1000 1000 1 0 1 0 0.4671 0.05224 0.9022 0.4773 0.05241 0.9021 1.5 1.5 10 10 0.0003631 0.000363 0.000363 -0.000302 1.11e-16 -0.000302 1.55 1.55 10 10 0.000425 0.0004249 0.0004249 -0.0003091 0 -0.0003091
2 60 2570 1275 1295 1.285 0 0.9846 2000 1000 1000 1 0 1 0 0.492 0.07535 0.9022 0.5 0.09836 0.9017 1.7 1.7 8 8 0.0005642 0.000564 0.000564 -0.0004364 0 -0.0004364 1.6 1.6 9 9 0.00055 0.0005497 0.0005497 -0.0005005 0 -0.0005005
2 65 2690 1318 1372 1.345 0 0.9606 2000 1000 1000 1 0 1 0 0.5241 0.1305 0.9021 0.5087 0.1152 0.9021 1.45 1.45 11 11 0.0004089 0.0004087 0.0004087 -0.0005751 0 -0.0005751 1.3 1.3 14 14 0.000375 0.0003747 0.0003747 -0.0007008 0 -0.0007008
2 70 2476 1222 1254 1.238 0 0.9745 2000 1000 1000 1 0 1 0 0.4872 0.06138 0.9021 0.4862 0.07021 0.9022 1.4 1.4 12 12 0.0001616 0.0001616 0.0001616 -1.672e-13 0 -1.672e-13 1.4 1.4 12 12 0.0003 0.0002999 0.0002999 -0.0001668 0 -0.0001668
2 75 2551 1250 1301 1.276 0 0.9608 2000 1000 1000 1 0 1 0 0.4857 0.05261 0.9018 0.4776 0.05304 0.9022 1.7 1.7 7 7 0.0004312 0.0004311 0.0004311 -0.0002496 0 -0.0002496 1.55 1.55 10 10 0.000375 0.0003749 0.0003749 -0.0001501 -2.22e-16 -0.0001501
2 80 2611 1322 1289 1.306 0 1.026 2000 1000 1000 1 0 1 0 0.4766 0.06173 0.902 0.487 0.07185 0.9021 1.6 1.6 9 9 0.0003255 0.0003255 0.0003255 -0.0001352 2.22e-16 -0.0001352 1.35 1.35 13 13 0.000275 0.0002749 0.0002749 -0.0002274 0 -0.0002274
2 85 2622 1287 1335 1.311 0 0.964 2000 1000 1000 1 0 1 0 0.4951 0.07279 0.9022 0.4865 0.07116 0.9018 1.65 1.65 10 10 0.0005912 0.0005908 0.0005908 -0.0006712 0 -0.0006712 1.45 1.45 12 12 0.0004 0.0003999 0.0003999 -0.000344 0 -0.000344
2 90 2579 1304 1275 1.29 0 1.023 2000 1000 1000 1 0 1 0 0.4953 0.09749 0.9021 0.4996 0.09704 0.9021 1.65 1.65 9 9 0.0003684 0.0003683 0.0003683 -0.000194 0 -0.000194 1.85 1.85 7 7 0.000675 0.0006747 0.0006747 -0.0004263 0 -0.0004263
2 95 2610 1293 1317 1.305 0 0.9818 2000 1000 1000 1 0 1 0 0.5038 0.09823 0.902 0.5001 0.09826 0.9019 1.65 1.65 8 8 0.0005747 0.0005743 0.0005743 -0.000684 0 -0.000684 1.5 1.5 12 12 0.0004 0.0003998 0.0003998 -0.0004223 -2.22e-16 -0.0004223
2 100 2615 1317 1298 1.308 0 1.015 2000 1000 1000 1 0 1 0 0.4974 0.09855 0.9021 0.5003 0.09852 0.9021 1.75 1.75 8 8 0.000478 0.0004778 0.0004778 -0.0003827 0 -0.0003827 1.55 1.55 11 11 0.00045 0.0004499 0.0004499 -0.000278 0 -0.000278
